"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23"
0.000,435.79,0.000,563.96,0.000,762.63,0.000,1063.84,0.000,1579.74,0.000,2441.71,0.000,3422.24,0.000,3662.57,0.000,3755.49,0.000,3524.78,0.000,2922.36,0.000,2557.07,0.000,2384.03,0.000,1848.91,0.000,1445.16,0.000,954.90,0.000,551.15,0.000,378.11,0.000,240.33,0.000,147.40,0.000,102.54,0.000,51.27,0.000,32.04
0.050,435.79,0.050,570.37,0.050,756.23,0.050,1070.25,0.050,1582.95,0.050,2435.30,0.050,3406.22,0.050,3688.20,0.050,3787.54,0.050,3534.39,0.050,2915.95,0.050,2557.07,0.050,2387.24,0.050,1858.52,0.050,1454.77,0.050,948.49,0.050,557.56,0.050,378.11,0.050,243.53,0.050,153.81,0.050,102.54,0.050,51.27,0.050,32.04
0.100,435.79,0.100,570.37,0.100,753.02,0.100,1063.84,0.100,1560.52,0.100,2460.94,0.100,3403.02,0.100,3691.41,0.100,3777.92,0.100,3534.39,0.100,2941.59,0.100,2557.07,0.100,2387.24,0.100,1864.93,0.100,1461.18,0.100,951.69,0.100,557.56,0.100,378.11,0.100,237.12,0.100,147.40,0.100,102.54,0.100,51.27,0.100,32.04
0.150,429.38,0.150,570.37,0.150,762.63,0.150,1051.03,0.150,1557.31,0.150,2473.75,0.150,3441.47,0.150,3665.77,0.150,3758.70,0.150,3524.78,0.150,2922.36,0.150,2557.07,0.150,2387.24,0.150,1864.93,0.150,1457.98,0.150,954.90,0.150,557.56,0.150,384.52,0.150,237.12,0.150,147.40,0.150,102.54,0.150,51.27,0.150,32.04
0.200,435.79,0.200,563.96,0.200,762.63,0.200,1060.64,0.200,1576.54,0.200,2451.32,0.200,3444.67,0.200,3659.36,0.200,3755.49,0.200,3524.78,0.200,2922.36,0.200,2557.07,0.200,2384.03,0.200,1845.70,0.200,1451.57,0.200,954.90,0.200,551.15,0.200,381.32,0.200,237.12,0.200,147.40,0.200,102.54,0.200,51.27,0.200,32.04
0.250,435.79,0.250,563.96,0.250,762.63,0.250,1063.84,0.250,1582.95,0.250,2438.51,0.250,3409.42,0.250,3665.77,0.250,3765.11,0.250,3524.78,0.250,2919.16,0.250,2557.07,0.250,2387.24,0.250,1858.52,0.250,1454.77,0.250,951.69,0.250,557.56,0.250,378.11,0.250,243.53,0.250,147.40,0.250,102.54,0.250,51.27,0.250,32.04
0.300,435.79,0.300,570.37,0.300,749.82,0.300,1070.25,0.300,1563.72,0.300,2451.32,0.300,3403.02,0.300,3710.63,0.300,3800.35,0.300,3547.21,0.300,2928.77,0.300,2557.07,0.300,2387.24,0.300,1864.93,0.300,1461.18,0.300,945.28,0.300,557.56,0.300,378.11,0.300,243.53,0.300,153.81,0.300,102.54,0.300,51.27,0.300,32.04
0.350,435.79,0.350,570.37,0.350,759.43,0.350,1057.43,0.350,1557.31,0.350,2467.35,0.350,3428.65,0.350,3668.98,0.350,3761.90,0.350,3524.78,0.350,2928.77,0.350,2557.07,0.350,2384.03,0.350,1861.72,0.350,1461.18,0.350,954.90,0.350,557.56,0.350,384.52,0.350,237.12,0.350,147.40,0.350,102.54,0.350,51.27,0.350,32.04
0.400,435.79,0.400,563.96,0.400,762.63,0.400,1054.23,0.400,1566.93,0.400,2467.35,0.400,3451.08,0.400,3665.77,0.400,3755.49,0.400,3524.78,0.400,2922.36,0.400,2557.07,0.400,2384.03,0.400,1861.72,0.400,1461.18,0.400,954.90,0.400,551.15,0.400,384.52,0.400,237.12,0.400,147.40,0.400,102.54,0.400,51.27,0.400,32.04
0.450,435.79,0.450,563.96,0.450,762.63,0.450,1063.84,0.450,1579.74,0.450,2441.71,0.450,3415.83,0.450,3665.77,0.450,3755.49,0.450,3524.78,0.450,2919.16,0.450,2557.07,0.450,2387.24,0.450,1852.11,0.450,1448.36,0.450,954.90,0.450,557.56,0.450,378.11,0.450,243.53,0.450,147.40,0.450,102.54,0.450,51.27,0.450,32.04
0.500,435.79,0.500,570.37,0.500,756.23,0.500,1070.25,0.500,1573.33,0.500,2435.30,0.500,3406.22,0.500,3697.81,0.500,3793.95,0.500,3547.21,0.500,2922.36,0.500,2557.07,0.500,2384.03,0.500,1864.93,0.500,1457.98,0.500,945.28,0.500,557.56,0.500,378.11,0.500,243.53,0.500,150.60,0.500,102.54,0.500,51.27,0.500,32.04
0.550,435.79,0.550,570.37,0.550,756.23,0.550,1060.64,0.550,1557.31,0.550,2467.35,0.550,3406.22,0.550,3681.79,0.550,3771.51,0.550,3531.19,0.550,2922.36,0.550,2557.07,0.550,2384.03,0.550,1864.93,0.550,1461.18,0.550,954.90,0.550,557.56,0.550,378.11,0.550,237.12,0.550,147.40,0.550,102.54,0.550,51.27,0.550,32.04
