"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
0.000,378.11,0.000,339.66,0.000,281.98,0.000,224.30,0.000,246.73,0.000,294.80,0.000,378.11,0.000,448.61,0.000,522.31,0.000,442.20,0.000,547.94,0.000,563.96,0.000,576.78,0.000,583.19,0.000,586.40,0.000,589.60,0.000,596.01,0.000,596.01,0.000,589.60,0.000,602.42,0.000,602.42,0.000,602.42,0.000,596.01,0.000,608.83,0.000,608.83,0.000,602.42,0.000,596.01,0.000,589.60,0.000,554.35,0.000,538.33,0.000,525.51,0.000,493.47,0.000,461.43,0.000,429.38,0.000,397.34
0.050,378.11,0.050,339.66,0.050,281.98,0.050,230.71,0.050,246.73,0.050,294.80,0.050,378.11,0.050,445.40,0.050,515.90,0.050,448.61,0.050,557.56,0.050,563.96,0.050,576.78,0.050,579.99,0.050,592.80,0.050,589.60,0.050,596.01,0.050,596.01,0.050,596.01,0.050,602.42,0.050,602.42,0.050,608.83,0.050,596.01,0.050,608.83,0.050,602.42,0.050,605.62,0.050,596.01,0.050,596.01,0.050,557.56,0.050,544.74,0.050,525.51,0.050,493.47,0.050,461.43,0.050,429.38,0.050,390.93
0.100,378.11,0.100,333.25,0.100,281.98,0.100,230.71,0.100,243.53,0.100,301.21,0.100,371.70,0.100,448.61,0.100,512.70,0.100,448.61,0.100,551.15,0.100,570.37,0.100,583.19,0.100,583.19,0.100,589.60,0.100,589.60,0.100,589.60,0.100,589.60,0.100,596.01,0.100,602.42,0.100,602.42,0.100,608.83,0.100,608.83,0.100,602.42,0.100,596.01,0.100,596.01,0.100,596.01,0.100,589.60,0.100,560.76,0.100,544.74,0.100,525.51,0.100,499.88,0.100,461.43,0.100,422.97,0.100,390.93
0.150,371.70,0.150,333.25,0.150,281.98,0.150,230.71,0.150,243.53,0.150,301.21,0.150,371.70,0.150,451.81,0.150,512.70,0.150,442.20,0.150,547.94,0.150,567.17,0.150,576.78,0.150,583.19,0.150,586.40,0.150,589.60,0.150,596.01,0.150,596.01,0.150,596.01,0.150,599.21,0.150,596.01,0.150,599.21,0.150,608.83,0.150,596.01,0.150,596.01,0.150,596.01,0.150,605.62,0.150,589.60,0.150,563.96,0.150,544.74,0.150,519.10,0.150,499.88,0.150,467.83,0.150,422.97,0.150,390.93
0.200,378.11,0.200,339.66,0.200,281.98,0.200,230.71,0.200,243.53,0.200,301.21,0.200,378.11,0.200,448.61,0.200,519.10,0.200,442.20,0.200,544.74,0.200,563.96,0.200,576.78,0.200,583.19,0.200,586.40,0.200,589.60,0.200,596.01,0.200,596.01,0.200,596.01,0.200,596.01,0.200,599.21,0.200,596.01,0.200,602.42,0.200,602.42,0.200,608.83,0.200,596.01,0.200,599.21,0.200,589.60,0.200,557.56,0.200,538.33,0.200,525.51,0.200,499.88,0.200,467.83,0.200,429.38,0.200,390.93
0.250,378.11,0.250,339.66,0.250,281.98,0.250,224.30,0.250,246.73,0.250,294.80,0.250,378.11,0.250,445.40,0.250,515.90,0.250,442.20,0.250,551.15,0.250,563.96,0.250,576.78,0.250,583.19,0.250,589.60,0.250,589.60,0.250,596.01,0.250,596.01,0.250,589.60,0.250,602.42,0.250,602.42,0.250,602.42,0.250,596.01,0.250,608.83,0.250,602.42,0.250,605.62,0.250,596.01,0.250,589.60,0.250,557.56,0.250,544.74,0.250,525.51,0.250,493.47,0.250,461.43,0.250,429.38,0.250,394.13
0.300,378.11,0.300,336.46,0.300,281.98,0.300,230.71,0.300,246.73,0.300,294.80,0.300,371.70,0.300,448.61,0.300,512.70,0.300,448.61,0.300,557.56,0.300,570.37,0.300,583.19,0.300,583.19,0.300,589.60,0.300,589.60,0.300,592.80,0.300,589.60,0.300,596.01,0.300,602.42,0.300,602.42,0.300,608.83,0.300,602.42,0.300,602.42,0.300,596.01,0.300,602.42,0.300,596.01,0.300,589.60,0.300,557.56,0.300,544.74,0.300,528.72,0.300,499.88,0.300,458.22,0.300,422.97,0.300,390.93
0.350,378.11,0.350,333.25,0.350,281.98,0.350,230.71,0.350,243.53,0.350,301.21,0.350,371.70,0.350,455.02,0.350,512.70,0.350,445.40,0.350,551.15,0.350,573.58,0.350,579.99,0.350,583.19,0.350,586.40,0.350,589.60,0.350,596.01,0.350,596.01,0.350,596.01,0.350,602.42,0.350,596.01,0.350,605.62,0.350,608.83,0.350,596.01,0.350,596.01,0.350,596.01,0.350,602.42,0.350,589.60,0.350,560.76,0.350,544.74,0.350,519.10,0.350,499.88,0.350,461.43,0.350,422.97,0.350,390.93
0.400,371.70,0.400,339.66,0.400,281.98,0.400,230.71,0.400,243.53,0.400,301.21,0.400,378.11,0.400,448.61,0.400,515.90,0.400,442.20,0.400,544.74,0.400,563.96,0.400,576.78,0.400,583.19,0.400,586.40,0.400,589.60,0.400,596.01,0.400,596.01,0.400,596.01,0.400,596.01,0.400,596.01,0.400,596.01,0.400,605.62,0.400,596.01,0.400,602.42,0.400,596.01,0.400,602.42,0.400,589.60,0.400,560.76,0.400,541.53,0.400,519.10,0.400,499.88,0.400,467.83,0.400,422.97,0.400,390.93
0.450,378.11,0.450,339.66,0.450,281.98,0.450,224.30,0.450,246.73,0.450,294.80,0.450,378.11,0.450,448.61,0.450,519.10,0.450,442.20,0.450,544.74,0.450,563.96,0.450,576.78,0.450,583.19,0.450,586.40,0.450,589.60,0.450,596.01,0.450,596.01,0.450,589.60,0.450,602.42,0.450,602.42,0.450,599.21,0.450,596.01,0.450,608.83,0.450,608.83,0.450,602.42,0.450,596.01,0.450,589.60,0.450,554.35,0.450,538.33,0.450,525.51,0.450,493.47,0.450,464.63,0.450,429.38,0.450,397.34
