"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
0.000,217.90,0.000,205.08,0.000,192.26,0.000,179.44,0.000,166.63,0.000,147.40,0.000,134.58,0.000,121.77,0.000,108.95,0.000,102.54,0.000,83.31,0.000,64.09,0.000,54.47
0.050,217.90,0.050,205.08,0.050,192.26,0.050,179.44,0.050,166.63,0.050,147.40,0.050,134.58,0.050,121.77,0.050,108.95,0.050,96.13,0.050,83.31,0.050,64.09,0.050,51.27
0.100,224.30,0.100,205.08,0.100,192.26,0.100,179.44,0.100,166.63,0.100,147.40,0.100,134.58,0.100,121.77,0.100,108.95,0.100,96.13,0.100,83.31,0.100,64.09,0.100,57.68
0.150,217.90,0.150,205.08,0.150,192.26,0.150,179.44,0.150,166.63,0.150,147.40,0.150,128.17,0.150,121.77,0.150,108.95,0.150,102.54,0.150,83.31,0.150,64.09,0.150,57.68
0.200,217.90,0.200,205.08,0.200,192.26,0.200,179.44,0.200,166.63,0.200,147.40,0.200,134.58,0.200,121.77,0.200,108.95,0.200,102.54,0.200,83.31,0.200,64.09,0.200,57.68
0.250,217.90,0.250,205.08,0.250,192.26,0.250,179.44,0.250,166.63,0.250,147.40,0.250,134.58,0.250,121.77,0.250,108.95,0.250,99.33,0.250,83.31,0.250,64.09,0.250,54.47
0.300,217.90,0.300,205.08,0.300,192.26,0.300,179.44,0.300,166.63,0.300,147.40,0.300,134.58,0.300,121.77,0.300,108.95,0.300,96.13,0.300,83.31,0.300,64.09,0.300,51.27
0.350,224.30,0.350,205.08,0.350,192.26,0.350,179.44,0.350,166.63,0.350,147.40,0.350,134.58,0.350,121.77,0.350,108.95,0.350,99.33,0.350,83.31,0.350,64.09,0.350,57.68
0.400,217.90,0.400,205.08,0.400,192.26,0.400,179.44,0.400,166.63,0.400,147.40,0.400,131.38,0.400,121.77,0.400,108.95,0.400,102.54,0.400,83.31,0.400,64.09,0.400,57.68
0.450,217.90,0.450,205.08,0.450,192.26,0.450,179.44,0.450,166.63,0.450,147.40,0.450,134.58,0.450,121.77,0.450,108.95,0.450,102.54,0.450,83.31,0.450,64.09,0.450,57.68
0.500,217.90,0.500,205.08,0.500,192.26,0.500,179.44,0.500,166.63,0.500,147.40,0.500,134.58,0.500,118.56,0.500,108.95,0.500,99.33,0.500,83.31,0.500,64.09,0.500,51.27
0.550,221.10,0.550,205.08,0.550,192.26,0.550,179.44,0.550,166.63,0.550,147.40,0.550,134.58,0.550,121.77,0.550,108.95,0.550,96.13,0.550,83.31,0.550,64.09,0.550,51.27
0.600,224.30,0.600,205.08,0.600,192.26,0.600,179.44,0.600,166.63,0.600,147.40,0.600,134.58,0.600,121.77,0.600,108.95,0.600,99.33,0.600,83.31,0.600,64.09,0.600,57.68
0.650,217.90,0.650,205.08,0.650,192.26,0.650,179.44,0.650,166.63,0.650,147.40,0.650,134.58,0.650,121.77,0.650,108.95,0.650,102.54,0.650,83.31,0.650,64.09,0.650,57.68
0.700,217.90,0.700,205.08,0.700,192.26,0.700,179.44,0.700,166.63,0.700,147.40,0.700,134.58,0.700,121.77,0.700,108.95,0.700,102.54,0.700,83.31,0.700,64.09,0.700,57.68
0.750,217.90,0.750,205.08,0.750,192.26,0.750,179.44,0.750,166.63,0.750,147.40,0.750,134.58,0.750,115.36,0.750,108.95,0.750,96.13,0.750,83.31,0.750,64.09,0.750,51.27
0.800,224.30,0.800,205.08,0.800,192.26,0.800,179.44,0.800,166.63,0.800,147.40,0.800,134.58,0.800,121.77,0.800,108.95,0.800,96.13,0.800,83.31,0.800,64.09,0.800,51.27
0.850,221.10,0.850,205.08,0.850,192.26,0.850,179.44,0.850,166.63,0.850,147.40,0.850,131.38,0.850,121.77,0.850,108.95,0.850,102.54,0.850,83.31,0.850,64.09,0.850,57.68
0.900,217.90,0.900,205.08,0.900,192.26,0.900,179.44,0.900,166.63,0.900,147.40,0.900,134.58,0.900,121.77,0.900,108.95,0.900,102.54,0.900,83.31,0.900,64.09,0.900,57.68
0.950,217.90,0.950,205.08,0.950,192.26,0.950,179.44,0.950,166.63,0.950,147.40,0.950,134.58,0.950,121.77,0.950,108.95,0.950,102.54,0.950,83.31,0.950,64.09,0.950,57.68
1.000,217.90,1.000,211.49,1.000,192.26,1.000,179.44,1.000,166.63,1.000,147.40,1.000,134.58,1.000,115.36,1.000,108.95,1.000,96.13,1.000,83.31,1.000,64.09,1.000,51.27
1.050,224.30,1.050,205.08,1.050,192.26,1.050,179.44,1.050,166.63,1.050,147.40,1.050,134.58,1.050,121.77,1.050,108.95,1.050,96.13,1.050,83.31,1.050,64.09,1.050,54.47
1.100,221.10,1.100,205.08,1.100,192.26,1.100,179.44,1.100,166.63,1.100,147.40,1.100,131.38,1.100,121.77,1.100,108.95,1.100,99.33,1.100,83.31,1.100,64.09,1.100,57.68
1.150,217.90,1.150,205.08,1.150,192.26,1.150,179.44,1.150,166.63,1.150,147.40,1.150,134.58,1.150,121.77,1.150,108.95,1.150,102.54,1.150,83.31,1.150,64.09,1.150,57.68
1.200,217.90,1.200,205.08,1.200,192.26,1.200,179.44,1.200,166.63,1.200,147.40,1.200,134.58,1.200,121.77,1.200,108.95,1.200,102.54,1.200,83.31,1.200,64.09,1.200,57.68
1.250,217.90,1.250,208.28,1.250,192.26,1.250,179.44,1.250,166.63,1.250,147.40,1.250,134.58,1.250,115.36,1.250,108.95,1.250,96.13,1.250,83.31,1.250,64.09,1.250,51.27
1.300,224.30,1.300,205.08,1.300,192.26,1.300,179.44,1.300,166.63,1.300,147.40,1.300,134.58,1.300,121.77,1.300,108.95,1.300,96.13,1.300,83.31,1.300,64.09,1.300,54.47
1.350,217.90,1.350,205.08,1.350,192.26,1.350,179.44,1.350,166.63,1.350,147.40,1.350,128.17,1.350,121.77,1.350,108.95,1.350,102.54,1.350,83.31,1.350,64.09,1.350,57.68
1.400,217.90,1.400,205.08,1.400,192.26,1.400,179.44,1.400,166.63,1.400,147.40,1.400,134.58,1.400,121.77,1.400,108.95,1.400,102.54,1.400,83.31,1.400,64.09,1.400,57.68
1.450,217.90,1.450,205.08,1.450,192.26,1.450,179.44,1.450,166.63,1.450,147.40,1.450,134.58,1.450,121.77,1.450,108.95,1.450,102.54,1.450,83.31,1.450,64.09,1.450,57.68
1.500,217.90,1.500,208.28,1.500,192.26,1.500,179.44,1.500,166.63,1.500,147.40,1.500,134.58,1.500,115.36,1.500,108.95,1.500,96.13,1.500,83.31,1.500,64.09,1.500,51.27
