"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
0.000,538.33,0.000,1166.38,0.000,1480.41,0.000,1467.59,0.000,1451.57,0.000,1365.05,0.000,1355.44,0.000,1333.01,0.000,1313.78,0.000,1272.13,0.000,1220.86,0.000,1159.97,0.000,1095.89,0.000,1028.59,0.000,954.90,0.000,910.03,0.000,858.76,0.000,733.80,0.000,660.10,0.000,538.33,0.000,461.43,0.000,397.34,0.000,355.68,0.000,262.76,0.000,185.85
0.050,538.33,0.050,1166.38,0.050,1518.86,0.050,1467.59,0.050,1419.53,0.050,1400.30,0.050,1352.23,0.050,1333.01,0.050,1320.19,0.050,1281.74,0.050,1224.06,0.050,1166.38,0.050,1102.29,0.050,1038.21,0.050,958.10,0.050,919.65,0.050,849.15,0.050,740.20,0.050,656.89,0.050,541.53,0.050,448.61,0.050,406.95,0.050,352.48,0.050,262.76,0.050,185.85
0.100,547.94,0.100,1172.79,0.100,1518.86,0.100,1502.84,0.100,1416.32,0.100,1374.66,0.100,1352.23,0.100,1355.44,0.100,1310.58,0.100,1268.92,0.100,1224.06,0.100,1166.38,0.100,1102.29,0.100,1038.21,0.100,974.12,0.100,922.85,0.100,833.13,0.100,749.82,0.100,640.87,0.100,528.72,0.100,455.02,0.100,410.16,0.100,358.89,0.100,262.76,0.100,185.85
0.150,551.15,0.150,1198.43,0.150,1483.61,0.150,1483.61,0.150,1416.32,0.150,1365.05,0.150,1352.23,0.150,1336.21,0.150,1307.37,0.150,1268.92,0.150,1224.06,0.150,1166.38,0.150,1099.09,0.150,1038.21,0.150,974.12,0.150,919.65,0.150,852.36,0.150,749.82,0.150,637.66,0.150,525.51,0.150,461.43,0.150,410.16,0.150,365.30,0.150,256.35,0.150,185.85
0.200,538.33,0.200,1182.40,0.200,1480.41,0.200,1467.59,0.200,1438.75,0.200,1365.05,0.200,1374.66,0.200,1333.01,0.200,1307.37,0.200,1268.92,0.200,1220.86,0.200,1147.16,0.200,1086.27,0.200,1015.78,0.200,974.12,0.200,894.01,0.200,858.76,0.200,749.82,0.200,653.69,0.200,538.33,0.200,464.63,0.200,400.54,0.200,365.30,0.200,256.35,0.200,192.26
0.250,538.33,0.250,1166.38,0.250,1483.61,0.250,1467.59,0.250,1441.96,0.250,1371.46,0.250,1352.23,0.250,1333.01,0.250,1323.39,0.250,1284.94,0.250,1224.06,0.250,1166.38,0.250,1099.09,0.250,1031.80,0.250,948.49,0.250,913.24,0.250,858.76,0.250,730.59,0.250,660.10,0.250,538.33,0.250,455.02,0.250,397.34,0.250,352.48,0.250,262.76,0.250,185.85
0.300,538.33,0.300,1166.38,0.300,1522.06,0.300,1467.59,0.300,1416.32,0.300,1403.50,0.300,1352.23,0.300,1333.01,0.300,1316.99,0.300,1275.33,0.300,1224.06,0.300,1166.38,0.300,1102.29,0.300,1038.21,0.300,964.51,0.300,919.65,0.300,839.54,0.300,743.41,0.300,653.69,0.300,541.53,0.300,448.61,0.300,410.16,0.300,352.48,0.300,262.76,0.300,185.85
0.350,551.15,0.350,1182.40,0.350,1506.04,0.350,1506.04,0.350,1416.32,0.350,1371.46,0.350,1352.23,0.350,1355.44,0.350,1307.37,0.350,1268.92,0.350,1224.06,0.350,1166.38,0.350,1102.29,0.350,1038.21,0.350,974.12,0.350,922.85,0.350,839.54,0.350,749.82,0.350,637.66,0.350,525.51,0.350,458.22,0.350,410.16,0.350,358.89,0.350,256.35,0.350,185.85
0.400,551.15,0.400,1198.43,0.400,1480.41,0.400,1480.41,0.400,1416.32,0.400,1365.05,0.400,1352.23,0.400,1333.01,0.400,1307.37,0.400,1268.92,0.400,1220.86,0.400,1166.38,0.400,1092.68,0.400,1038.21,0.400,974.12,0.400,910.03,0.400,858.76,0.400,749.82,0.400,644.07,0.400,525.51,0.400,461.43,0.400,403.75,0.400,365.30,0.400,256.35,0.400,185.85
0.450,538.33,0.450,1175.99,0.450,1480.41,0.450,1467.59,0.450,1445.16,0.450,1365.05,0.450,1371.46,0.450,1333.01,0.450,1307.37,0.450,1268.92,0.450,1224.06,0.450,1150.36,0.450,1089.48,0.450,1015.78,0.450,970.92,0.450,894.01,0.450,858.76,0.450,746.61,0.450,653.69,0.450,538.33,0.450,467.83,0.450,397.34,0.450,362.09,0.450,256.35,0.450,192.26
0.500,538.33,0.500,1166.38,0.500,1499.63,0.500,1467.59,0.500,1435.55,0.500,1384.28,0.500,1352.23,0.500,1333.01,0.500,1333.01,0.500,1291.35,0.500,1224.06,0.500,1166.38,0.500,1102.29,0.500,1031.80,0.500,948.49,0.500,916.44,0.500,858.76,0.500,730.59,0.500,660.10,0.500,541.53,0.500,455.02,0.500,400.54,0.500,352.48,0.500,262.76,0.500,185.85
0.550,538.33,0.550,1166.38,0.550,1525.27,0.550,1477.20,0.550,1416.32,0.550,1393.89,0.550,1352.23,0.550,1333.01,0.550,1313.78,0.550,1275.33,0.550,1224.06,0.550,1166.38,0.550,1102.29,0.550,1038.21,0.550,967.71,0.550,922.85,0.550,836.33,0.550,746.61,0.550,647.28,0.550,535.13,0.550,448.61,0.550,410.16,0.550,352.48,0.550,262.76,0.550,185.85
0.600,551.15,0.600,1192.02,0.600,1496.43,0.600,1509.25,0.600,1416.32,0.600,1368.26,0.600,1352.23,0.600,1349.03,0.600,1307.37,0.600,1268.92,0.600,1220.86,0.600,1166.38,0.600,1102.29,0.600,1038.21,0.600,974.12,0.600,922.85,0.600,845.95,0.600,749.82,0.600,634.46,0.600,525.51,0.600,461.43,0.600,410.16,0.600,358.89,0.600,256.35,0.600,185.85
0.650,547.94,0.650,1201.63,0.650,1480.41,0.650,1474.00,0.650,1416.32,0.650,1365.05,0.650,1352.23,0.650,1333.01,0.650,1307.37,0.650,1268.92,0.650,1224.06,0.650,1163.18,0.650,1079.86,0.650,1038.21,0.650,974.12,0.650,903.63,0.650,858.76,0.650,749.82,0.650,647.28,0.650,531.92,0.650,464.63,0.650,400.54,0.650,365.30,0.650,256.35,0.650,185.85
0.700,538.33,0.700,1172.79,0.700,1480.41,0.700,1467.59,0.700,1451.57,0.700,1365.05,0.700,1365.05,0.700,1333.01,0.700,1307.37,0.700,1268.92,0.700,1224.06,0.700,1156.77,0.700,1095.89,0.700,1022.19,0.700,964.51,0.700,900.42,0.700,858.76,0.700,740.20,0.700,656.89,0.700,538.33,0.700,467.83,0.700,397.34,0.700,358.89,0.700,262.76,0.700,192.26
0.750,538.33,0.750,1166.38,0.750,1509.25,0.750,1467.59,0.750,1429.14,0.750,1393.89,0.750,1352.23,0.750,1333.01,0.750,1333.01,0.750,1291.35,0.750,1224.06,0.750,1166.38,0.750,1102.29,0.750,1035.00,0.750,948.49,0.750,916.44,0.750,858.76,0.750,730.59,0.750,660.10,0.750,541.53,0.750,455.02,0.750,403.75,0.750,352.48,0.750,262.76,0.750,185.85
