"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
0.000,320.43,0.000,352.48,0.000,249.94,0.000,166.63,0.000,153.81,0.000,185.85,0.000,269.17,0.000,374.91,0.000,506.29,0.000,570.37,0.000,634.46,0.000,685.73,0.000,724.18,0.000,743.41,0.000,756.23,0.000,769.04,0.000,781.86,0.000,788.27,0.000,794.68,0.000,794.68,0.000,788.27,0.000,759.43,0.000,756.23,0.000,749.82,0.000,743.41,0.000,730.59,0.000,737.00,0.000,711.36,0.000,685.73,0.000,640.87,0.000,608.83,0.000,570.37,0.000,519.10,0.000,474.24,0.000,435.79
0.050,317.23,0.050,346.07,0.050,249.94,0.050,166.63,0.050,153.81,0.050,185.85,0.050,269.17,0.050,371.70,0.050,512.70,0.050,570.37,0.050,628.05,0.050,692.14,0.050,730.59,0.050,743.41,0.050,743.41,0.050,762.63,0.050,781.86,0.050,788.27,0.050,797.88,0.050,781.86,0.050,781.86,0.050,756.23,0.050,756.23,0.050,749.82,0.050,743.41,0.050,717.77,0.050,720.98,0.050,704.96,0.050,672.91,0.050,653.69,0.050,612.03,0.050,570.37,0.050,519.10,0.050,474.24,0.050,435.79
0.100,314.03,0.100,352.48,0.100,256.35,0.100,166.63,0.100,153.81,0.100,185.85,0.100,262.76,0.100,378.11,0.100,506.29,0.100,576.78,0.100,628.05,0.100,685.73,0.100,724.18,0.100,743.41,0.100,756.23,0.100,756.23,0.100,781.86,0.100,785.06,0.100,785.06,0.100,781.86,0.100,781.86,0.100,756.23,0.100,756.23,0.100,749.82,0.100,743.41,0.100,737.00,0.100,717.77,0.100,698.55,0.100,669.71,0.100,653.69,0.100,621.64,0.100,576.78,0.100,519.10,0.100,474.24,0.100,429.38
0.150,320.43,0.150,352.48,0.150,253.14,0.150,166.63,0.150,147.40,0.150,185.85,0.150,262.76,0.150,384.52,0.150,499.88,0.150,583.19,0.150,634.46,0.150,685.73,0.150,724.18,0.150,743.41,0.150,756.23,0.150,769.04,0.150,769.04,0.150,775.45,0.150,775.45,0.150,794.68,0.150,788.27,0.150,765.84,0.150,756.23,0.150,749.82,0.150,740.20,0.150,737.00,0.150,733.80,0.150,698.55,0.150,672.91,0.150,640.87,0.150,608.83,0.150,570.37,0.150,519.10,0.150,474.24,0.150,435.79
0.200,320.43,0.200,352.48,0.200,249.94,0.200,166.63,0.200,150.60,0.200,185.85,0.200,269.17,0.200,378.11,0.200,499.88,0.200,570.37,0.200,640.87,0.200,685.73,0.200,724.18,0.200,743.41,0.200,756.23,0.200,769.04,0.200,775.45,0.200,781.86,0.200,788.27,0.200,797.88,0.200,797.88,0.200,765.84,0.200,756.23,0.200,749.82,0.200,737.00,0.200,737.00,0.200,737.00,0.200,711.36,0.200,685.73,0.200,640.87,0.200,608.83,0.200,570.37,0.200,519.10,0.200,474.24,0.200,435.79
0.250,320.43,0.250,352.48,0.250,249.94,0.250,166.63,0.250,153.81,0.250,185.85,0.250,269.17,0.250,371.70,0.250,512.70,0.250,570.37,0.250,634.46,0.250,685.73,0.250,724.18,0.250,743.41,0.250,756.23,0.250,769.04,0.250,781.86,0.250,788.27,0.250,794.68,0.250,788.27,0.250,785.06,0.250,756.23,0.250,756.23,0.250,749.82,0.250,743.41,0.250,724.18,0.250,730.59,0.250,711.36,0.250,679.32,0.250,640.87,0.250,608.83,0.250,570.37,0.250,519.10,0.250,474.24,0.250,435.79
0.300,314.03,0.300,346.07,0.300,253.14,0.300,166.63,0.300,153.81,0.300,185.85,0.300,265.96,0.300,371.70,0.300,512.70,0.300,570.37,0.300,628.05,0.300,685.73,0.300,730.59,0.300,743.41,0.300,749.82,0.300,756.23,0.300,781.86,0.300,788.27,0.300,794.68,0.300,781.86,0.300,781.86,0.300,756.23,0.300,756.23,0.300,749.82,0.300,743.41,0.300,727.39,0.300,717.77,0.300,698.55,0.300,672.91,0.300,653.69,0.300,618.44,0.300,570.37,0.300,519.10,0.300,474.24,0.300,435.79
0.350,314.03,0.350,352.48,0.350,256.35,0.350,166.63,0.350,153.81,0.350,185.85,0.350,262.76,0.350,378.11,0.350,503.08,0.350,583.19,0.350,628.05,0.350,685.73,0.350,724.18,0.350,743.41,0.350,756.23,0.350,762.63,0.350,775.45,0.350,778.66,0.350,781.86,0.350,781.86,0.350,781.86,0.350,756.23,0.350,762.63,0.350,749.82,0.350,743.41,0.350,737.00,0.350,724.18,0.350,695.34,0.350,672.91,0.350,650.48,0.350,615.23,0.350,573.58,0.350,519.10,0.350,474.24,0.350,429.38
0.400,320.43,0.400,352.48,0.400,249.94,0.400,166.63,0.400,147.40,0.400,185.85,0.400,269.17,0.400,384.52,0.400,499.88,0.400,570.37,0.400,640.87,0.400,685.73,0.400,724.18,0.400,743.41,0.400,756.23,0.400,769.04,0.400,769.04,0.400,772.25,0.400,775.45,0.400,794.68,0.400,794.68,0.400,765.84,0.400,756.23,0.400,749.82,0.400,733.80,0.400,737.00,0.400,737.00,0.400,701.75,0.400,676.12,0.400,640.87,0.400,608.83,0.400,570.37,0.400,519.10,0.400,474.24,0.400,435.79
0.450,320.43,0.450,352.48,0.450,249.94,0.450,166.63,0.450,153.81,0.450,185.85,0.450,269.17,0.450,378.11,0.450,503.08,0.450,570.37,0.450,634.46,0.450,682.53,0.450,724.18,0.450,743.41,0.450,756.23,0.450,769.04,0.450,781.86,0.450,788.27,0.450,794.68,0.450,801.09,0.450,797.88,0.450,756.23,0.450,756.23,0.450,749.82,0.450,737.00,0.450,737.00,0.450,737.00,0.450,711.36,0.450,685.73,0.450,640.87,0.450,608.83,0.450,570.37,0.450,519.10,0.450,474.24,0.450,435.79
