"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
0.000,237.12,0.000,217.90,0.000,201.87,0.000,192.26,0.000,173.03,0.000,153.81,0.000,140.99,0.000,128.17,0.000,115.36,0.000,102.54,0.000,89.72,0.000,70.50,0.000,57.68
0.050,230.71,0.050,211.49,0.050,198.67,0.050,185.85,0.050,173.03,0.050,153.81,0.050,140.99,0.050,128.17,0.050,115.36,0.050,102.54,0.050,89.72,0.050,70.50,0.050,57.68
0.100,230.71,0.100,211.49,0.100,198.67,0.100,185.85,0.100,173.03,0.100,153.81,0.100,140.99,0.100,128.17,0.100,115.36,0.100,102.54,0.100,89.72,0.100,70.50,0.100,57.68
0.150,230.71,0.150,217.90,0.150,198.67,0.150,185.85,0.150,173.03,0.150,153.81,0.150,140.99,0.150,128.17,0.150,115.36,0.150,102.54,0.150,89.72,0.150,70.50,0.150,57.68
0.200,237.12,0.200,221.10,0.200,205.08,0.200,185.85,0.200,179.44,0.200,160.22,0.200,140.99,0.200,128.17,0.200,115.36,0.200,102.54,0.200,89.72,0.200,70.50,0.200,57.68
0.250,237.12,0.250,214.69,0.250,198.67,0.250,192.26,0.250,173.03,0.250,153.81,0.250,140.99,0.250,128.17,0.250,115.36,0.250,102.54,0.250,89.72,0.250,70.50,0.250,57.68
0.300,230.71,0.300,211.49,0.300,198.67,0.300,185.85,0.300,173.03,0.300,153.81,0.300,140.99,0.300,128.17,0.300,115.36,0.300,102.54,0.300,89.72,0.300,70.50,0.300,57.68
0.350,230.71,0.350,211.49,0.350,198.67,0.350,185.85,0.350,173.03,0.350,153.81,0.350,140.99,0.350,128.17,0.350,115.36,0.350,102.54,0.350,89.72,0.350,70.50,0.350,57.68
0.400,230.71,0.400,217.90,0.400,201.87,0.400,185.85,0.400,173.03,0.400,153.81,0.400,140.99,0.400,128.17,0.400,115.36,0.400,102.54,0.400,89.72,0.400,70.50,0.400,57.68
0.450,237.12,0.450,221.10,0.450,205.08,0.450,185.85,0.450,179.44,0.450,160.22,0.450,140.99,0.450,128.17,0.450,115.36,0.450,102.54,0.450,89.72,0.450,70.50,0.450,57.68
0.500,237.12,0.500,211.49,0.500,198.67,0.500,192.26,0.500,173.03,0.500,153.81,0.500,140.99,0.500,128.17,0.500,115.36,0.500,102.54,0.500,89.72,0.500,70.50,0.500,57.68
