"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
0.000,512.70,0.000,1035.00,0.000,1294.56,0.000,1300.96,0.000,1262.51,0.000,1211.24,0.000,1179.20,0.000,1156.77,0.000,1118.32,0.000,1076.66,0.000,1031.80,0.000,970.92,0.000,929.26,0.000,877.99,0.000,839.54,0.000,781.86,0.000,724.18,0.000,647.28,0.000,570.37,0.000,487.06,0.000,403.75,0.000,358.89,0.000,317.23,0.000,230.71,0.000,173.03
0.050,512.70,0.050,1038.21,0.050,1294.56,0.050,1300.96,0.050,1262.51,0.050,1211.24,0.050,1182.40,0.050,1159.97,0.050,1127.93,0.050,1076.66,0.050,1015.78,0.050,951.69,0.050,929.26,0.050,877.99,0.050,839.54,0.050,788.27,0.050,717.77,0.050,660.10,0.050,563.96,0.050,474.24,0.050,416.56,0.050,352.48,0.050,314.03,0.050,237.12,0.050,173.03
0.100,512.70,0.100,1047.82,0.100,1294.56,0.100,1300.96,0.100,1262.51,0.100,1211.24,0.100,1182.40,0.100,1159.97,0.100,1127.93,0.100,1076.66,0.100,1031.80,0.100,974.12,0.100,903.63,0.100,877.99,0.100,820.31,0.100,788.27,0.100,743.41,0.100,660.10,0.100,579.99,0.100,467.83,0.100,416.56,0.100,358.89,0.100,314.03,0.100,237.12,0.100,166.63
0.150,515.90,0.150,1038.21,0.150,1294.56,0.150,1300.96,0.150,1262.51,0.150,1211.24,0.150,1179.20,0.150,1150.36,0.150,1127.93,0.150,1057.43,0.150,1031.80,0.150,980.53,0.150,916.44,0.150,861.97,0.150,817.11,0.150,772.25,0.150,743.41,0.150,647.28,0.150,583.19,0.150,480.65,0.150,413.36,0.150,365.30,0.150,320.43,0.150,230.71,0.150,166.63
0.200,512.70,0.200,1038.21,0.200,1294.56,0.200,1300.96,0.200,1262.51,0.200,1211.24,0.200,1182.40,0.200,1147.16,0.200,1108.70,0.200,1076.66,0.200,1031.80,0.200,980.53,0.200,929.26,0.200,861.97,0.200,833.13,0.200,762.63,0.200,743.41,0.200,637.66,0.200,583.19,0.200,487.06,0.200,403.75,0.200,365.30,0.200,323.64,0.200,230.71,0.200,173.03
0.250,512.70,0.250,1038.21,0.250,1294.56,0.250,1300.96,0.250,1262.51,0.250,1211.24,0.250,1179.20,0.250,1159.97,0.250,1121.52,0.250,1076.66,0.250,1028.59,0.250,961.30,0.250,929.26,0.250,877.99,0.250,839.54,0.250,781.86,0.250,724.18,0.250,653.69,0.250,570.37,0.250,487.06,0.250,403.75,0.250,355.68,0.250,314.03,0.250,230.71,0.250,173.03
0.300,512.70,0.300,1044.62,0.300,1294.56,0.300,1300.96,0.300,1262.51,0.300,1211.24,0.300,1182.40,0.300,1159.97,0.300,1127.93,0.300,1076.66,0.300,1022.19,0.300,958.10,0.300,929.26,0.300,877.99,0.300,839.54,0.300,788.27,0.300,724.18,0.300,660.10,0.300,563.96,0.300,474.24,0.300,416.56,0.300,352.48,0.300,314.03,0.300,237.12,0.300,166.63
0.350,512.70,0.350,1044.62,0.350,1294.56,0.350,1300.96,0.350,1262.51,0.350,1211.24,0.350,1179.20,0.350,1159.97,0.350,1127.93,0.350,1073.46,0.350,1031.80,0.350,980.53,0.350,900.42,0.350,877.99,0.350,813.90,0.350,791.47,0.350,743.41,0.350,660.10,0.350,583.19,0.350,467.83,0.350,416.56,0.350,365.30,0.350,314.03,0.350,237.12,0.350,166.63
0.400,519.10,0.400,1038.21,0.400,1294.56,0.400,1300.96,0.400,1262.51,0.400,1211.24,0.400,1182.40,0.400,1140.75,0.400,1127.93,0.400,1067.05,0.400,1031.80,0.400,980.53,0.400,916.44,0.400,855.56,0.400,823.52,0.400,769.04,0.400,743.41,0.400,644.07,0.400,583.19,0.400,483.86,0.400,410.16,0.400,365.30,0.400,320.43,0.400,230.71,0.400,166.63
0.450,512.70,0.450,1038.21,0.450,1294.56,0.450,1300.96,0.450,1262.51,0.450,1211.24,0.450,1182.40,0.450,1150.36,0.450,1102.29,0.450,1076.66,0.450,1031.80,0.450,980.53,0.450,929.26,0.450,865.17,0.450,833.13,0.450,762.63,0.450,740.20,0.450,637.66,0.450,583.19,0.450,487.06,0.450,403.75,0.450,362.09,0.450,323.64,0.450,230.71,0.450,173.03
