"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
0.000,243.53,0.000,301.21,0.000,224.30,0.000,147.40,0.000,128.17,0.000,147.40,0.000,214.69,0.000,326.84,0.000,422.97,0.000,487.06,0.000,528.72,0.000,531.92,0.000,560.76,0.000,576.78,0.000,554.35,0.000,551.15,0.000,551.15,0.000,570.37,0.000,560.76,0.000,557.56,0.000,531.92,0.000,525.51,0.000,512.70,0.000,506.29,0.000,499.88,0.000,487.06,0.000,474.24,0.000,455.02,0.000,422.97,0.000,397.34,0.000,362.09,0.000,333.25,0.000,301.21,0.000,262.76,0.000,256.35
0.050,237.12,0.050,301.21,0.050,224.30,0.050,147.40,0.050,128.17,0.050,140.99,0.050,217.90,0.050,326.84,0.050,426.18,0.050,487.06,0.050,525.51,0.050,535.13,0.050,544.74,0.050,557.56,0.050,551.15,0.050,551.15,0.050,560.76,0.050,554.35,0.050,544.74,0.050,541.53,0.050,531.92,0.050,525.51,0.050,512.70,0.050,506.29,0.050,499.88,0.050,487.06,0.050,474.24,0.050,455.02,0.050,422.97,0.050,384.52,0.050,352.48,0.050,326.84,0.050,301.21,0.050,269.17,0.050,243.53
0.100,243.53,0.100,304.41,0.100,217.90,0.100,147.40,0.100,124.97,0.100,144.20,0.100,217.90,0.100,314.03,0.100,442.20,0.100,483.86,0.100,506.29,0.100,557.56,0.100,544.74,0.100,551.15,0.100,563.96,0.100,570.37,0.100,576.78,0.100,544.74,0.100,544.74,0.100,538.33,0.100,531.92,0.100,525.51,0.100,512.70,0.100,506.29,0.100,499.88,0.100,483.86,0.100,474.24,0.100,455.02,0.100,422.97,0.100,381.32,0.100,365.30,0.100,323.64,0.100,301.21,0.100,275.57,0.100,243.53
0.150,243.53,0.150,304.41,0.150,224.30,0.150,147.40,0.150,128.17,0.150,147.40,0.150,205.08,0.150,307.62,0.150,442.20,0.150,467.83,0.150,506.29,0.150,557.56,0.150,563.96,0.150,554.35,0.150,576.78,0.150,576.78,0.150,557.56,0.150,544.74,0.150,541.53,0.150,538.33,0.150,531.92,0.150,525.51,0.150,512.70,0.150,506.29,0.150,480.65,0.150,477.45,0.150,474.24,0.150,455.02,0.150,416.56,0.150,390.93,0.150,365.30,0.150,333.25,0.150,288.39,0.150,275.57,0.150,249.94
0.200,243.53,0.200,294.80,0.200,224.30,0.200,147.40,0.200,128.17,0.200,147.40,0.200,211.49,0.200,320.43,0.200,435.79,0.200,474.24,0.200,519.10,0.200,538.33,0.200,570.37,0.200,573.58,0.200,573.58,0.200,563.96,0.200,551.15,0.200,560.76,0.200,554.35,0.200,541.53,0.200,531.92,0.200,525.51,0.200,512.70,0.200,506.29,0.200,493.47,0.200,487.06,0.200,461.43,0.200,445.40,0.200,422.97,0.200,397.34,0.200,365.30,0.200,333.25,0.200,291.60,0.200,269.17,0.200,256.35
0.250,243.53,0.250,301.21,0.250,224.30,0.250,147.40,0.250,128.17,0.250,147.40,0.250,214.69,0.250,326.84,0.250,422.97,0.250,487.06,0.250,528.72,0.250,531.92,0.250,557.56,0.250,576.78,0.250,554.35,0.250,551.15,0.250,551.15,0.250,570.37,0.250,557.56,0.250,557.56,0.250,531.92,0.250,525.51,0.250,512.70,0.250,506.29,0.250,499.88,0.250,487.06,0.250,474.24,0.250,455.02,0.250,422.97,0.250,397.34,0.250,358.89,0.250,333.25,0.250,301.21,0.250,262.76,0.250,256.35
0.300,237.12,0.300,301.21,0.300,221.10,0.300,147.40,0.300,128.17,0.300,140.99,0.300,217.90,0.300,326.84,0.300,429.38,0.300,487.06,0.300,522.31,0.300,538.33,0.300,544.74,0.300,554.35,0.300,551.15,0.300,551.15,0.300,563.96,0.300,554.35,0.300,544.74,0.300,541.53,0.300,531.92,0.300,525.51,0.300,512.70,0.300,506.29,0.300,499.88,0.300,487.06,0.300,474.24,0.300,455.02,0.300,422.97,0.300,384.52,0.300,352.48,0.300,323.64,0.300,301.21,0.300,272.37,0.300,243.53
0.350,243.53,0.350,304.41,0.350,217.90,0.350,147.40,0.350,121.77,0.350,147.40,0.350,217.90,0.350,314.03,0.350,442.20,0.350,480.65,0.350,506.29,0.350,557.56,0.350,544.74,0.350,551.15,0.350,567.17,0.350,573.58,0.350,576.78,0.350,544.74,0.350,541.53,0.350,538.33,0.350,531.92,0.350,525.51,0.350,512.70,0.350,506.29,0.350,499.88,0.350,480.65,0.350,477.45,0.350,455.02,0.350,419.77,0.350,381.32,0.350,365.30,0.350,326.84,0.350,298.00,0.350,275.57,0.350,243.53
0.400,243.53,0.400,304.41,0.400,224.30,0.400,147.40,0.400,128.17,0.400,147.40,0.400,205.08,0.400,307.62,0.400,442.20,0.400,467.83,0.400,506.29,0.400,557.56,0.400,567.17,0.400,560.76,0.400,576.78,0.400,576.78,0.400,557.56,0.400,544.74,0.400,541.53,0.400,538.33,0.400,531.92,0.400,525.51,0.400,512.70,0.400,506.29,0.400,480.65,0.400,477.45,0.400,477.45,0.400,451.81,0.400,416.56,0.400,390.93,0.400,365.30,0.400,333.25,0.400,288.39,0.400,275.57,0.400,249.94
0.450,243.53,0.450,294.80,0.450,224.30,0.450,147.40,0.450,128.17,0.450,147.40,0.450,211.49,0.450,320.43,0.450,429.38,0.450,477.45,0.450,522.31,0.450,535.13,0.450,570.37,0.450,576.78,0.450,573.58,0.450,557.56,0.450,551.15,0.450,560.76,0.450,557.56,0.450,541.53,0.450,531.92,0.450,525.51,0.450,512.70,0.450,506.29,0.450,493.47,0.450,487.06,0.450,461.43,0.450,448.61,0.450,422.97,0.450,397.34,0.450,365.30,0.450,333.25,0.450,294.80,0.450,269.17,0.450,256.35
