"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
0.000,221.10,0.000,211.49,0.000,192.26,0.000,185.85,0.000,173.03,0.000,153.81,0.000,140.99,0.000,121.77,0.000,115.36,0.000,102.54,0.000,83.31,0.000,64.09,0.000,57.68
0.050,227.51,0.050,211.49,0.050,198.67,0.050,182.65,0.050,173.03,0.050,153.81,0.050,134.58,0.050,121.77,0.050,108.95,0.050,102.54,0.050,83.31,0.050,64.09,0.050,57.68
0.100,230.71,0.100,211.49,0.100,198.67,0.100,179.44,0.100,173.03,0.100,147.40,0.100,134.58,0.100,121.77,0.100,108.95,0.100,102.54,0.100,89.72,0.100,64.09,0.100,57.68
0.150,230.71,0.150,205.08,0.150,198.67,0.150,179.44,0.150,166.63,0.150,147.40,0.150,134.58,0.150,128.17,0.150,108.95,0.150,102.54,0.150,86.52,0.150,70.50,0.150,57.68
0.200,224.30,0.200,205.08,0.200,192.26,0.200,185.85,0.200,166.63,0.200,153.81,0.200,140.99,0.200,121.77,0.200,115.36,0.200,102.54,0.200,83.31,0.200,64.09,0.200,57.68
0.250,224.30,0.250,211.49,0.250,192.26,0.250,185.85,0.250,173.03,0.250,153.81,0.250,140.99,0.250,121.77,0.250,115.36,0.250,102.54,0.250,83.31,0.250,64.09,0.250,57.68
0.300,230.71,0.300,211.49,0.300,198.67,0.300,179.44,0.300,173.03,0.300,153.81,0.300,134.58,0.300,121.77,0.300,108.95,0.300,102.54,0.300,83.31,0.300,64.09,0.300,57.68
0.350,230.71,0.350,211.49,0.350,198.67,0.350,179.44,0.350,173.03,0.350,147.40,0.350,134.58,0.350,121.77,0.350,108.95,0.350,102.54,0.350,89.72,0.350,64.09,0.350,57.68
0.400,230.71,0.400,205.08,0.400,198.67,0.400,179.44,0.400,166.63,0.400,147.40,0.400,134.58,0.400,128.17,0.400,108.95,0.400,102.54,0.400,83.31,0.400,70.50,0.400,57.68
0.450,224.30,0.450,205.08,0.450,192.26,0.450,185.85,0.450,166.63,0.450,153.81,0.450,140.99,0.450,121.77,0.450,115.36,0.450,102.54,0.450,83.31,0.450,64.09,0.450,57.68
