"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
0.000,480.65,0.000,970.92,0.000,1198.43,0.000,1236.88,0.000,1166.38,0.000,1147.16,0.000,1083.07,0.000,1089.48,0.000,1073.46,0.000,1018.98,0.000,977.33,0.000,906.83,0.000,845.95,0.000,801.09,0.000,762.63,0.000,724.18,0.000,682.53,0.000,608.83,0.000,551.15,0.000,455.02,0.000,384.52,0.000,333.25,0.000,298.00,0.000,217.90,0.000,160.22
0.050,480.65,0.050,986.94,0.050,1220.86,0.050,1208.04,0.050,1188.81,0.050,1115.11,0.050,1115.11,0.050,1095.89,0.050,1041.41,0.050,990.14,0.050,954.90,0.050,894.01,0.050,865.17,0.050,807.50,0.050,775.45,0.050,724.18,0.050,679.32,0.050,602.42,0.050,538.33,0.050,448.61,0.050,384.52,0.050,346.07,0.050,304.41,0.050,217.90,0.050,160.22
0.100,480.65,0.100,993.35,0.100,1224.06,0.100,1211.24,0.100,1198.43,0.100,1108.70,0.100,1121.52,0.100,1095.89,0.100,1038.21,0.100,996.55,0.100,942.08,0.100,894.01,0.100,877.99,0.100,826.72,0.100,788.27,0.100,743.41,0.100,695.34,0.100,602.42,0.100,531.92,0.100,442.20,0.100,390.93,0.100,339.66,0.100,294.80,0.100,217.90,0.100,157.01
0.150,480.65,0.150,993.35,0.150,1224.06,0.150,1233.67,0.150,1198.43,0.150,1140.75,0.150,1118.32,0.150,1063.84,0.150,1070.25,0.150,1018.98,0.150,948.49,0.150,922.85,0.150,868.38,0.150,813.90,0.150,772.25,0.150,753.02,0.150,704.96,0.150,621.64,0.150,531.92,0.150,442.20,0.150,387.73,0.150,333.25,0.150,294.80,0.150,217.90,0.150,157.01
0.200,474.24,0.200,990.14,0.200,1220.86,0.200,1236.88,0.200,1195.22,0.200,1147.16,0.200,1089.48,0.200,1060.64,0.200,1073.46,0.200,1025.39,0.200,974.12,0.200,929.26,0.200,849.15,0.200,801.09,0.200,762.63,0.200,730.59,0.200,688.93,0.200,621.64,0.200,544.74,0.200,445.40,0.200,384.52,0.200,333.25,0.200,294.80,0.200,217.90,0.200,160.22
0.250,480.65,0.250,977.33,0.250,1208.04,0.250,1236.88,0.250,1159.97,0.250,1143.95,0.250,1089.48,0.250,1092.68,0.250,1070.25,0.250,1009.37,0.250,977.33,0.250,903.63,0.250,845.95,0.250,801.09,0.250,762.63,0.250,724.18,0.250,679.32,0.250,608.83,0.250,551.15,0.250,458.22,0.250,384.52,0.250,336.46,0.250,301.21,0.250,217.90,0.250,160.22
0.300,480.65,0.300,993.35,0.300,1224.06,0.300,1201.63,0.300,1192.02,0.300,1111.91,0.300,1121.52,0.300,1095.89,0.300,1038.21,0.300,986.94,0.300,948.49,0.300,894.01,0.300,871.58,0.300,813.90,0.300,781.86,0.300,724.18,0.300,679.32,0.300,602.42,0.300,538.33,0.300,448.61,0.300,384.52,0.300,346.07,0.300,301.21,0.300,217.90,0.300,160.22
0.350,480.65,0.350,993.35,0.350,1224.06,0.350,1217.65,0.350,1198.43,0.350,1118.32,0.350,1121.52,0.350,1092.68,0.350,1047.82,0.350,1006.16,0.350,942.08,0.350,903.63,0.350,877.99,0.350,826.72,0.350,791.47,0.350,749.82,0.350,698.55,0.350,605.62,0.350,531.92,0.350,442.20,0.350,390.93,0.350,336.46,0.350,294.80,0.350,217.90,0.350,157.01
0.400,480.65,0.400,993.35,0.400,1224.06,0.400,1236.88,0.400,1198.43,0.400,1147.16,0.400,1111.91,0.400,1063.84,0.400,1070.25,0.400,1018.98,0.400,958.10,0.400,922.85,0.400,861.97,0.400,807.50,0.400,769.04,0.400,749.82,0.400,704.96,0.400,624.85,0.400,531.92,0.400,442.20,0.400,387.73,0.400,333.25,0.400,294.80,0.400,217.90,0.400,160.22
0.450,474.24,0.450,983.73,0.450,1211.24,0.450,1236.88,0.450,1182.40,0.450,1147.16,0.450,1086.27,0.450,1070.25,0.450,1073.46,0.450,1025.39,0.450,974.12,0.450,929.26,0.450,845.95,0.450,801.09,0.450,762.63,0.450,730.59,0.450,685.73,0.450,615.23,0.450,547.94,0.450,448.61,0.450,384.52,0.450,333.25,0.450,294.80,0.450,217.90,0.450,160.22
0.500,480.65,0.500,980.53,0.500,1211.24,0.500,1233.67,0.500,1166.38,0.500,1137.54,0.500,1099.09,0.500,1095.89,0.500,1057.43,0.500,999.76,0.500,974.12,0.500,900.42,0.500,845.95,0.500,801.09,0.500,762.63,0.500,724.18,0.500,679.32,0.500,605.62,0.500,551.15,0.500,458.22,0.500,384.52,0.500,339.66,0.500,301.21,0.500,217.90,0.500,160.22
0.550,480.65,0.550,993.35,0.550,1224.06,0.550,1198.43,0.550,1195.22,0.550,1108.70,0.550,1121.52,0.550,1095.89,0.550,1038.21,0.550,986.94,0.550,948.49,0.550,894.01,0.550,871.58,0.550,820.31,0.550,785.06,0.550,727.39,0.550,679.32,0.550,602.42,0.550,538.33,0.550,445.40,0.550,384.52,0.550,342.86,0.550,301.21,0.550,217.90,0.550,160.22
0.600,480.65,0.600,993.35,0.600,1224.06,0.600,1224.06,0.600,1198.43,0.600,1124.73,0.600,1121.52,0.600,1083.07,0.600,1057.43,0.600,1012.57,0.600,942.08,0.600,910.03,0.600,877.99,0.600,826.72,0.600,788.27,0.600,749.82,0.600,701.75,0.600,612.03,0.600,531.92,0.600,442.20,0.600,397.34,0.600,333.25,0.600,294.80,0.600,217.90,0.600,157.01
0.650,477.45,0.650,993.35,0.650,1224.06,0.650,1236.88,0.650,1198.43,0.650,1147.16,0.650,1105.50,0.650,1060.64,0.650,1070.25,0.650,1022.19,0.650,964.51,0.650,922.85,0.650,858.76,0.650,807.50,0.650,769.04,0.650,743.41,0.650,701.75,0.650,628.05,0.650,531.92,0.650,442.20,0.650,384.52,0.650,333.25,0.650,294.80,0.650,217.90,0.650,160.22
